state,2008,2009,2010,2011,2012
Alabama,9.99,7.89,9.56,10.66,11.3
Alaska,11.41,10.57,12.72,15.1,12.56
Arizona,8.81,6.51,7.18,7.79,7.75
Arkansas,6.21,5.75,5.57,5.61,7.29
California,9.07,7.82,9.07,9.45,9.16
Colorado,3.63,2.84,3.19,3.24,3.44
Connecticut,7.73,7.31,8.12,7.82,7.45
Delaware,13.36,11.84,13.44,14.18,12.61
Florida,7.37,6.73,7.63,8.53,8.36
Georgia,8.09,7.19,8.68,9.74,9.71
Hawaii,1.74,1.01,1.2,1.47,1.17
Idaho,9.95,7.89,10.23,11.15,11.12
Illinois,9.72,7.83,9.27,11.43,11.55
Indiana,11.8,10.53,12.88,13.64,13.82
Iowa,10.19,7.7,9.14,10.22,10.84
Kansas,10.98,8.13,8.93,9.6,9.42
Kentucky,13.57,12.66,13.51,13.31,14.17
Louisiana,25,19.96,24.45,31.1,34.12
Maine,6.18,4.56,6.41,6.62,5.72
Maryland,4.02,3.27,3.51,3.55,3.71
Massachusetts,8.51,7.2,7.78,7.75,6.88
Michigan,12.75,9.65,12.91,13.94,15.06
Minnesota,8.49,7.14,8.35,8.57,8.25
Mississippi,8.1,7.06,8.98,11.4,11.73
Missouri,5.8,4.4,5.89,6.2,5.91
Montana,4.12,3.18,4.05,4.33,4.07
Nebraska,7.44,6.82,7.96,9.43,8.93
Nevada,5.78,5.74,5.96,7.84,9.73
New Hampshire,6.43,5.31,7.38,6.86,5.38
New Jersey,7.89,6.19,7.16,8.09,7.65
New Mexico,4.14,1.92,2.25,2.89,3.99
New York,8.61,6.35,7.25,8.38,7.81
North Carolina,7.54,6.6,7.35,7.66,7.8
North Dakota,10.31,8.24,8.7,10.49,11.22
Ohio,10.89,8.33,9.91,10.41,10.52
Oklahoma,3.68,3.43,3.96,4.22,4.25
Oregon,13.96,10.99,12.84,12.54,12.04
Pennsylvania,6.67,5.51,6.59,7.35,6.75
Rhode Island,4.47,3.44,4.31,4.86,4.92
South Carolina,13.22,11.1,13.42,15.46,15.16
South Dakota,5.13,3.2,3.8,3.95,4.11
Tennessee,10.61,9.44,11.52,12.62,12.45
Texas,19.94,17.8,21.52,23.79,23.82
Utah,11.29,11.71,15.32,19.68,19.03
Vermont,14.76,13.03,17.03,15.83,14.84
Virginia,5.39,4.31,4.77,4.74,4.62
Washington,18.81,18.47,18.61,21.37,23.81
West Virginia,9.9,8.36,10.94,14.4,17.42
Wisconsin,9.41,7.69,8.97,9.5,9.58
Wyoming,4.03,3.81,3.87,4.36,4.88
